,TAMBON_E,TAMBON_T,AMPHOE_E,AMPHOE_T,AM_ID,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
100703,Pathum Wan,ปทุมวัน,Pathum Wan,ปทุมวัน,1007,10,กรุงเทพมหานคร,Bangkok,13.74,100.535
100704,Lumphini,ลุมพินี,Pathum Wan,ปทุมวัน,1007,10,กรุงเทพมหานคร,Bangkok,13.735999999999999,100.546
100801,Pom Prap,ป้อมปราบ,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,1008,10,กรุงเทพมหานคร,Bangkok,13.743,100.514
100802,Wat Thepsirin,วัดเทพศิรินทร์,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,1008,10,กรุงเทพมหานคร,Bangkok,13.749,100.512
100803,Khlong Mahanak,คลองมหานาค,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,1008,10,กรุงเทพมหานคร,Bangkok,13.753,100.51299999999999
100804,Ban Bat,บ้านบาตร,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,1008,10,กรุงเทพมหานคร,Bangkok,13.752,100.507
100805,Wat Sommanat,วัดโสมนัส,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,1008,10,กรุงเทพมหานคร,Bangkok,13.759,100.51100000000001
100905,Bang Chak,บางจาก,Phra Khanong,พระโขนง,1009,10,กรุงเทพมหานคร,Bangkok,13.692,100.626
101001,Min Buri,มีนบุรี,Min Buri,มีนบุรี,1010,10,กรุงเทพมหานคร,Bangkok,13.804,100.723
101002,Saen Saep,แสนแสบ,Min Buri,มีนบุรี,1010,10,กรุงเทพมหานคร,Bangkok,13.812000000000001,100.774
101101,Lat Krabang,ลาดกระบัง,Lat Krabang,ลาดกระบัง,1011,10,กรุงเทพมหานคร,Bangkok,13.722999999999999,100.771
101102,Khlong Song Ton Nun,คลองสองต้นนุ่น,Lat Krabang,ลาดกระบัง,1011,10,กรุงเทพมหานคร,Bangkok,13.753,100.723
101103,Khlong Sam Prawet,คลองสามประเวศ,Lat Krabang,ลาดกระบัง,1011,10,กรุงเทพมหานคร,Bangkok,13.753,100.75399999999999
101104,Lam Pla Thio,ลำปลาทิว,Lat Krabang,ลาดกระบัง,1011,10,กรุงเทพมหานคร,Bangkok,13.765,100.81700000000001
101105,Thap Yao,ทับยาว,Lat Krabang,ลาดกระบัง,1011,10,กรุงเทพมหานคร,Bangkok,13.728,100.815
101106,Khum Thong,ขุมทอง,Lat Krabang,ลาดกระบัง,1011,10,กรุงเทพมหานคร,Bangkok,13.735999999999999,100.855
101203,Chong Nonsi,ช่องนนทรี,Yan Nawa,ยานนาวา,1012,10,กรุงเทพมหานคร,Bangkok,13.682,100.53299999999999
101204,Bang Phongphang,บางโพงพาง,Yan Nawa,ยานนาวา,1012,10,กรุงเทพมหานคร,Bangkok,13.697000000000001,100.544
101301,Chakkrawat,จักรวรรดิ,Samphanthawong,สัมพันธวงศ์,1013,10,กรุงเทพมหานคร,Bangkok,13.741,100.50399999999999
101302,Samphanthawong,สัมพันธวงศ์,Samphanthawong,สัมพันธวงศ์,1013,10,กรุงเทพมหานคร,Bangkok,13.739,100.51100000000001
101303,Talat Noi,ตลาดน้อย,Samphanthawong,สัมพันธวงศ์,1013,10,กรุงเทพมหานคร,Bangkok,13.734000000000002,100.51299999999999
101401,Sam Sen Nai,สามเสนใน,Phaya Thai,พญาไท,1014,10,กรุงเทพมหานคร,Bangkok,13.782,100.545
101501,Wat Kanlaya,วัดกัลยาณ์,Thon Buri,ธนบุรี,1015,10,กรุงเทพมหานคร,Bangkok,13.737,100.493
101502,Hiranruchi,หิรัญรูจี,Thon Buri,ธนบุรี,1015,10,กรุงเทพมหานคร,Bangkok,13.731,100.49
101503,Bang Yi Ruea,บางยี่เรือ,Thon Buri,ธนบุรี,1015,10,กรุงเทพมหานคร,Bangkok,13.72,100.48200000000001
101504,Bukkhalo,บุคคโล,Thon Buri,ธนบุรี,1015,10,กรุงเทพมหานคร,Bangkok,13.707,100.486
101505,Talat Phlu,ตลาดพลู,Thon Buri,ธนบุรี,1015,10,กรุงเทพมหานคร,Bangkok,13.715,100.473
101601,Wat Arun,วัดอรุณ,Bangkok Yai,บางกอกใหญ่,1016,10,กรุงเทพมหานคร,Bangkok,13.743,100.486
101602,Wat Tha Phra,วัดท่าพระ,Bangkok Yai,บางกอกใหญ่,1016,10,กรุงเทพมหานคร,Bangkok,13.732999999999999,100.475
101701,Huai Khwang,ห้วยขวาง,Huai Khwang,ห้วยขวาง,1017,10,กรุงเทพมหานคร,Bangkok,13.769,100.57700000000001
101702,Bang Kapi,บางกะปิ,Huai Khwang,ห้วยขวาง,1017,10,กรุงเทพมหานคร,Bangkok,13.752,100.586
101704,Sam Sen Nok,สามเสนนอก,Huai Khwang,ห้วยขวาง,1017,10,กรุงเทพมหานคร,Bangkok,13.796,100.579
101801,Somdet Chaophraya,สมเด็จเจ้าพระยา,Khlong San,คลองสาน,1018,10,กรุงเทพมหานคร,Bangkok,13.731,100.49700000000001
101802,Khlong San,คลองสาน,Khlong San,คลองสาน,1018,10,กรุงเทพมหานคร,Bangkok,13.735,100.50399999999999
101803,Bang Lamphu Lang,บางลำภูล่าง,Khlong San,คลองสาน,1018,10,กรุงเทพมหานคร,Bangkok,13.715,100.501
